,city,company,country,date,expired,formattedLocation,formattedLocationFull,formattedRelativeTime,indeedApply,jobkey,jobtitle,latitude,longitude,onmousedown,query,snippet,source,sponsored,state,stations,url
10,Houston,Schlumberger,US,"Sat, 12 Nov 2016 10:58:10 GMT",false,"Houston, TX","Houston, TX",6 days ago,false,b51600f3a0ffca71,Data Scientist,29.760988,-95.36264,"indeed_clk(this,'2266');",data+scientist,"Works with multi-functional teams focused on enterprise data, data quality, business intelligence, operational data and enterprise resource planning integration...",Schlumberger,false,TX,,http://www.indeed.com/viewjob?jk=b51600f3a0ffca71&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
11,Houston,Exxon Mobil,US,"Wed, 05 Oct 2016 20:01:42 GMT",false,"Houston, TX","Houston, TX",30+ days ago,false,857a318d918bc7ce,Data Scientist,29.760988,-95.36264,"indeed_clk(this,'2266');",data+scientist,ExxonMobil Global Services Company – Information Technology has an immediate opening for a data scientist in its Data and Analytics Group....,Exxon Mobil,false,TX,,http://www.indeed.com/viewjob?jk=857a318d918bc7ce&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
12,Round Rock,Dell,US,"Wed, 16 Nov 2016 22:54:15 GMT",false,"Round Rock, TX","Round Rock, TX 78664",1 day ago,false,b7a94de224ed3913,Data Scientist Consultant,30.486902,-97.663994,"indeed_clk(this,'2266');",data+scientist,"Proven work experience as a data scientist or analyst. Technical expertise in creating data models, data mining and segmentation....",Dell,false,TX,,http://www.indeed.com/viewjob?jk=b7a94de224ed3913&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
13,Redmond,Microsoft,US,"Fri, 18 Nov 2016 01:58:08 GMT",false,"Redmond, WA","Redmond, WA 98052",20 hours ago,false,c24166805c9de0f9,Data Scientist,47.652508,-122.14208,"indeed_clk(this,'2266');",data+scientist,"You are a hands-on, developing data scientist with strong Python experience. 2+ years of professional data science experience or combination of work and...",Microsoft,false,WA,,http://www.indeed.com/viewjob?jk=c24166805c9de0f9&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
14,The Woodlands,Anadarko Petroleum Corporation,US,"Wed, 16 Nov 2016 02:41:34 GMT",false,"The Woodlands, TX","The Woodlands, TX",2 days ago,false,75bb578966c5781f,Data Scientist – Data Engineering,30.156593,-95.48901,"indeed_clk(this,'2266');",data+scientist,"Data Scientist – Data Engineering. Experience with integration of data from multiple data sources. As part of the Data Science &amp; Advanced Analytics team, the...",Anadarko Petroleum Corporation,false,TX,,http://www.indeed.com/viewjob?jk=75bb578966c5781f&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
15,The Woodlands,Anadarko Petroleum Corporation,US,"Wed, 16 Nov 2016 02:41:30 GMT",false,"The Woodlands, TX","The Woodlands, TX",2 days ago,false,6241d2cf4829c63a,Data Scientist – Spatial & Image Analysis,30.156593,-95.48901,"indeed_clk(this,'2266');",data+scientist,"Data Scientist – Spatial &amp; Image Analysis. As part of the Data Science &amp; Advanced Analytics team, the Data Scientists specializing in Spatial and/or Image...",Anadarko Petroleum Corporation,false,TX,,http://www.indeed.com/viewjob?jk=6241d2cf4829c63a&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
16,The Woodlands,Anadarko Petroleum Corporation,US,"Wed, 16 Nov 2016 02:41:28 GMT",false,"The Woodlands, TX","The Woodlands, TX",2 days ago,false,7ca0fbd30b240d1a,Data Scientist – Artificial Intelligence & Machine Learning,30.156593,-95.48901,"indeed_clk(this,'2266');",data+scientist,Data Scientist – Artificial Intelligence &amp; Machine Learning. Experience working with large structured and unstructured data....,Anadarko Petroleum Corporation,false,TX,,http://www.indeed.com/viewjob?jk=7ca0fbd30b240d1a&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
17,San Jose,"Cisco Systems, Inc.",US,"Sat, 12 Nov 2016 11:20:05 GMT",false,"San Jose, CA","San Jose, CA",6 days ago,false,61b69713454aab86,Data Scientist (Full Time) - United States,37.337914,-121.89011,"indeed_clk(this,'2266');",data+scientist,"Technical knowledge regarding data models, database design development, data mining and segmentation techniques. People, processes, data, and things....",Cisco Systems,false,CA,,http://www.indeed.com/viewjob?jk=61b69713454aab86&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
18,San Diego,Intel,US,"Tue, 08 Nov 2016 05:20:52 GMT",false,"San Diego, CA","San Diego, CA 92129",10 days ago,false,e3f0a8f2d40232d5,Data Scientist/Machine Learning Engineer,32.964287,-117.11539,"indeed_clk(this,'2266');",data+scientist,"Uses predictive modeling, statistics, Machine Learning, Data Mining, and other data analysis techniques to collect, explore, and extract insights from structure...",Intel,false,CA,,http://www.indeed.com/viewjob?jk=e3f0a8f2d40232d5&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
19,Palo Alto,Tesla Motors,US,"Thu, 29 Sep 2016 10:37:50 GMT",false,"Palo Alto, CA","Palo Alto, CA",30+ days ago,false,03c96464b9eede87,"Data Scientist, Autopilot Maps",37.43956,-122.14286,"indeed_clk(this,'2266');",data+scientist,Perform exploratory data analysis and data visualization. We are looking for a motivated data scientist to help us advance our maps for Autopilot and navigation...,Tesla Motors,false,CA,,http://www.indeed.com/viewjob?jk=03c96464b9eede87&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
20,Jacksonville,Oscar Technology,US,"Sat, 22 Oct 2016 21:58:13 GMT",false,"Jacksonville, FL","Jacksonville, FL",27 days ago,true,fc443d57feff8a9c,Jr Data Scientist - Healthcare/Insurance,30.32967,-81.65385,"indeed_clk(this,'2266');",data+scientist,The Data Scientist will be partnering with clients to aid them in using their marketing and customer data to gain deep insights....,Indeed,false,FL,,http://www.indeed.com/viewjob?jk=fc443d57feff8a9c&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
21,Eagan,Ecolab,US,"Wed, 26 Oct 2016 01:49:28 GMT",false,"Eagan, MN","Eagan, MN",23 days ago,false,eeba00ef694b5897,Data Scientist,44.802197,-93.16483,"indeed_clk(this,'2266');",data+scientist,Ecolab is looking for a talented data scientist to work in a start-up like in-house innovation hub chartered with creating big data analytics and data science...,Ecolab,false,MN,,http://www.indeed.com/viewjob?jk=eeba00ef694b5897&qd=LsVW8c0iEXRzkb9K4S0ffamBYu_x_hMniBdnXt78vi0_wHkwQrCdt91k9_FLudNYMlkHegqyCpRRHufrX2C9KLeJkvxhLXTS2xRABv6u61aptQI94s5DsPOzRyYMc52A&indpubnum=9207766499679789&atk=1b1sovehd18j37av
